:VID(string),idiom.pinyin:string
毫不讳言,"['hao2', 'bu4', 'hui4', 'yan2']"
毫不介意,"['hao2', 'bu4', 'jie4', 'yi4']"
毫发不爽,"['hao2', 'fa4', 'bu4', 'shuang3']"
毫发丝粟,"['hao2', 'fa1', 'si1', 'su4']"
毫分缕析,"['hao2', 'fen1', 'lv3', 'xi1']"
毫厘不爽,"['hao2', 'li2', 'bu4', 'shuang3']"
毫厘千里,"['hao2', 'li2', 'qian1', 'li3']"
毫厘丝忽,"['hao2', 'li2', 'si1', 'hu1']"
毫毛不犯,"['hao2', 'mao2', 'bu4', 'fan4']"
毫无二致,"['hao2', 'wu2', 'er4', 'zhi4']"
毫无逊色,"['hao2', 'wu2', 'xun4', 'se4']"
毫无疑义,"['hao2', 'wu2', 'yi2', 'yi4']"
豪夺巧取,"['hao2', 'duo2', 'qiao3', 'qu3']"
豪放不羁,"['hao2', 'fang4', 'bu4', 'ji1']"
豪干暴取,"['hao2', 'gan4', 'bao4', 'qu3']"
豪管哀弦,"['hao2', 'guan3', 'ai1', 'xian2']"
豪横跋扈,"['hao2', 'heng2', 'ba2', 'hu4']"
豪迈不群,"['hao2', 'mai4', 'bu4', 'qun2']"
豪门贵胄,"['hao2', 'men2', 'gui4', 'zhou4']"
豪门巨室,"['hao2', 'men2', 'ju4', 'shi4']"
豪情逸致,"['hao2', 'qing2', 'yi4', 'zhi4']"
豪情壮志,"['hao2', 'qing2', 'zhuang4', 'zhi4']"
豪取智笼,"['hao2', 'qu3', 'zhi4', 'long2']"
豪商巨贾,"['hao2', 'shang1', 'ju4', 'jia3']"
豪奢放逸,"['hao2', 'she1', 'fang4', 'yi4']"
豪言壮语,"['hao2', 'yan2', 'zhuang4', 'yu3']"
豪竹哀丝,"['hao2', 'zhu2', 'ai1', 'si1']"
嚎天动地,"['hao2', 'tian1', 'dong4', 'di4']"
嚎天喊地,"['hao2', 'tian1', 'han3', 'di4']"
濠梁之上,"['hao2', 'liang2', 'zhi1', 'shang4']"
好吃懒做,"['hao4', 'chi1', 'lan3', 'zuo4']"
好大喜功,"['hao4', 'da4', 'xi3', 'gong1']"
好戴高帽,"['hao3', 'dai4', 'gao1', 'mao4']"
好丹非素,"['hao4', 'dan1', 'fei1', 'su4']"
好恶不同,"['hao3', 'e4', 'bu4', 'tong2']"
好高骛远,"['hao4', 'gao1', 'wu4', 'yuan3']"
好高鹜远,"['hao3', 'gao1', 'wu4', 'yuan3']"
好好先生,"['hao3', 'hao3', 'xian1', 'sheng1']"
好景不长,"['hao3', 'jing3', 'bu4', 'chang2']"
好景不常,"['hao3', 'jing3', 'bu4', 'chang2']"
好酒贪杯,"['hao4', 'jiu3', 'tan1', 'bei1']"
好梦不长,"['hao3', 'meng4', 'bu4', 'chang2']"
好梦难成,"['hao3', 'meng4', 'nan2', 'cheng2']"
好梦难圆,"['hao3', 'meng4', 'nan2', 'yuan2']"
好谋善断,"['hao4', 'mou2', 'shan4', 'duan4']"
好奇尚异,"['hao3', 'qi2', 'shang4', 'yi4']"
好骑者堕,"['hao4', 'qi2', 'zhe3', 'duo4']"
好肉剜疮,"['hao3', 'rou4', 'wan1', 'chuang1']"
好色之徒,"['hao4', 'se4', 'zhi1', 'tu2']"
好善恶恶,"['hao3', 'shan4', 'wu4', 'e4']"
好善嫉恶,"['hao3', 'shan4', 'ji2', 'e4']"
好善乐施,"['hao4', 'shan4', 'le4', 'shi1']"
好生之德,"['hao4', 'sheng1', 'zhi1', 'de2']"
好声好气,"['hao3', 'sheng1', 'hao3', 'qi4']"
好事多磨,"['hao3', 'shi4', 'duo1', 'mo2']"
好事多悭,"['hao3', 'shi4', 'duo1', 'qian1']"
好事天悭,"['hao3', 'shi4', 'tian1', 'qian1']"
好事之徒,"['hao4', 'shi4', 'zhi1', 'tu2']"
好说歹说,"['hao3', 'shuo1', 'dai3', 'shuo1']"
好天良夜,"['hao3', 'tian1', 'liang2', 'ye4']"
好为人师,"['hao4', 'wei2', 'ren2', 'shi1']"
好为事端,"['hao4', 'wei2', 'shi4', 'duan1']"
好问决疑,"['hao4', 'wen4', 'jue2', 'yi2']"
好问则裕,"['hao4', 'wen4', 'ze2', 'yu4']"
好心好意,"['hao3', 'xin1', 'hao3', 'yi4']"
好行小惠,"['hao4', 'xing2', 'xiao3', 'hui4']"
好行小慧,"['hao3', 'xing2', 'xiao3', 'hui4']"
好学不倦,"['hao4', 'xue2', 'bu4', 'juan4']"
好言好语,"['hao3', 'yan2', 'hao3', 'yu3']"
好佚恶劳,"['hao3', 'yi4', 'wu4', 'lao2']"
好逸恶劳,"['hao4', 'yi4', 'wu4', 'lao2']"
好勇斗狠,"['hao4', 'yong3', 'dou4', 'hen3']"
好语如珠,"['hao3', 'yu3', 'ru2', 'zhu1']"
好语似珠,"['hao3', 'yu3', 'si4', 'zhu1']"
好整以暇,"['hao4', 'zheng3', 'yi3', 'xia2']"
好自为之,"['hao4', 'zi4', 'wei2', 'zhi1']"
号唃大哭,"['hao2', 'tao2', 'da4', 'ku1']"
号寒啼饥,"['hao2', 'han2', 'ti2', 'ji1']"
号令如山,"['hao4', 'ling4', 'ru2', 'shan1']"
号啕大哭,"['hao2', 'tao2', 'da4', 'ku1']"
号天扣地,"['hao4', 'tian1', 'kou4', 'di4']"
昊天不吊,"['hao4', 'tian1', 'bu4', 'diao4']"
昊天罔极,"['hao4', 'tian1', 'wang3', 'ji2']"
浩浩荡荡,"['hao4', 'hao4', 'dang4', 'dang4']"
浩浩汤汤,"['hao4', 'hao4', 'shang1', 'shang1']"
浩气长存,"['hao4', 'qi4', 'chang2', 'cun2']"
浩气凛然,"['hao4', 'qi4', 'lin3', 'ran2']"
浩然之气,"['hao4', 'ran2', 'zhi1', 'qi4']"
浩如烟海,"['hao4', 'ru2', 'yan1', 'hai3']"
皓齿蛾眉,"['hao4', 'chi3', 'e2', 'mei2']"
皓齿明眸,"['hao4', 'chi3', 'ming2', 'mou2']"
皓首苍颜,"['hao4', 'shou3', 'cang1', 'yan2']"
皓首穷经,"['hao4', 'shou3', 'qiong2', 'jing1']"
皓月千里,"['hao4', 'yue4', 'qian1', 'li3']"
诃佛诋巫,"['he1', 'fo2', 'di3', 'wu1']"
诃佛骂祖,"['he1', 'fu2', 'ma4', 'zu3']"
呵壁问天,"['he1', 'bi4', 'wen4', 'tian1']"
呵佛骂祖,"['he1', 'fo2', 'ma4', 'zu3']"
呵欠连天,"['he1', 'qian4', 'lian2', 'tian1']"
喝西北风,"['he1', 'xi1', 'bei3', 'feng1']"
禾黍故宫,"['he2', 'shu3', 'gu4', 'gong1']"
合从连衡,"['he2', 'zong4', 'lian2', 'heng2']"
合胆同心,"['he2', 'dan3', 'tong2', 'xin1']"
合而为一,"['he2', 'er2', 'wei2', 'yi1']"
合二为一,"['he2', 'er4', 'wei2', 'yi1']"
合两为一,"['he2', 'liang3', 'wei2', 'yi1']"
合盘托出,"['he2', 'pan2', 'tuo1', 'chu1']"
合浦还珠,"['he2', 'pu3', 'huan2', 'zhu1']"
合浦珠还,"['he2', 'pu3', 'zhu1', 'huan2']"
合情合理,"['he2', 'qing2', 'he2', 'li3']"
合眼摸象,"['he2', 'yan3', 'mo1', 'xiang4']"
合衷共济,"['he2', 'zhong1', 'gong4', 'ji4']"
何必当初,"['he2', 'bi4', 'dang1', 'chu1']"
何患无辞,"['he2', 'huan4', 'wu2', 'ci2']"
何乐不为,"['he2', 'le4', 'bu4', 'wei2']"
何其毒也,"['he2', 'qi2', 'du2', 'ye3']"
何去何从,"['he2', 'qu4', 'he2', 'cong2']"
何所不为,"['he2', 'suo3', 'bu4', 'wei2']"
何所不有,"['he2', 'suo3', 'bu4', 'you3']"
何所不至,"['he2', 'suo3', 'bu4', 'zhi4']"
何足道哉,"['he2', 'zu2', 'dao4', 'zai1']"
何足挂齿,"['he2', 'zu2', 'gua4', 'chi3']"
何足介意,"['he2', 'zu2', 'jie4', 'yi4']"
何足为奇,"['he2', 'zu2', 'wei2', 'qi2']"
何罪之有,"['he2', 'zui4', 'zhi1', 'you3']"
和蔼近人,"['he2', 'ai3', 'jin4', 'ren2']"
和蔼可亲,"['he2', 'ai3', 'ke3', 'qin1']"
和璧隋珠,"['he2', 'bi4', 'sui2', 'zhu1']"
和而不唱,"['he2', 'er2', 'bu4', 'chang4']"
和而不同,"['he2', 'er2', 'bu4', 'tong2']"
和风丽日,"['he2', 'feng1', 'li4', 'ri4']"
和风细雨,"['he2', 'feng1', 'xi4', 'yu3']"
和光同尘,"['he2', 'guang1', 'tong2', 'chen2']"
和睦相处,"['he2', 'mu4', 'xiang1', 'chu3']"
和盘托出,"['he2', 'pan2', 'tuo1', 'chu1']"
和气生财,"['he2', 'qi4', 'sheng1', 'cai2']"
和气致祥,"['he2', 'qi4', 'zhi4', 'xiang2']"
和容悦色,"['he2', 'rong2', 'yue4', 'se4']"
和如琴瑟,"['he2', 'ru2', 'qin2', 'se4']"
和颜说色,"['he2', 'yan2', 'yue4', 'se4']"
和颜悦色,"['he2', 'yan2', 'yue4', 'se4']"
和衣而卧,"['he2', 'yi1', 'er2', 'wo4']"
和衷共济,"['he2', 'zhong1', 'gong4', 'ji4']"
河奔海聚,"['he2', 'ben1', 'hai3', 'ju4']"
河伯为患,"['he2', 'bo2', 'wei2', 'huan4']"
河不出图,"['he2', 'bu4', 'chu1', 'tu2']"
河出伏流,"['he2', 'chu1', 'fu2', 'liu2']"
河东三箧,"['he2', 'dong1', 'san1', 'qie4']"
河东狮吼,"['he2', 'dong1', 'shi1', 'hou3']"
河东狮子,"['he2', 'dong1', 'shi1', 'zi']"
河汾门下,"['he2', 'fen2', 'men2', 'xia4']"
河海清宴,"['he2', 'hai3', 'qing1', 'yan4']"
河汉江淮,"['he2', 'han4', 'jiang1', 'huai2']"
河汉无极,"['he2', 'han4', 'wu2', 'ji2']"
河涸海干,"['he2', 'he2', 'hai3', 'qian2']"
河决鱼烂,"['he2', 'jue2', 'yu2', 'lan4']"
河溓海晏,"['he2', 'lian2', 'hai3', 'yan4']"
河溓海夷,"['he2', 'lian2', 'hai3', 'yi2']"
河梁携手,"['he2', 'liang2', 'xie2', 'shou3']"
河梁之谊,"['he2', 'liang2', 'zhi4', 'yi2']"
河落海干,"['he2', 'luo4', 'hai3', 'gan1']"
河门海口,"['he2', 'men2', 'hai3', 'kou3']"
河目海口,"['he2', 'mu4', 'hai3', 'kou3']"
河倾月落,"['he2', 'qing1', 'yue4', 'luo4']"
河清海竭,"['he2', 'qing1', 'hai3', 'jie2']"
河清海宴,"['he2', 'qing1', 'hai3', 'yan4']"
河清海晏,"['he2', 'qing1', 'hai3', 'yan4']"
河清难俟,"['he2', 'qing1', 'nan2', 'si4']"
河清人寿,"['he2', 'qing1', 'ren2', 'shou4']"
河清三日,"['he2', 'qing1', 'san1', 'ri4']"
河清社鸣,"['he2', 'qing1', 'she4', 'ming2']"
河清云庆,"['he2', 'qing1', 'yun2', 'qing4']"
河沙世界,"['he2', 'sha1', 'shi4', 'jie4']"
河山带砺,"['he2', 'shan1', 'dai4', 'li4']"
河山之德,"['he2', 'shan1', 'zhi1', 'de2']"
河同水密,"['he2', 'tong2', 'shui3', 'mi4']"
河斜月落,"['he2', 'xie2', 'yue4', 'luo4']"
河鱼腹疾,"['he2', 'yu2', 'fu4', 'ji2']"
河鱼天雁,"['he2', 'yu2', 'tian1', 'yan4']"
河鱼之疾,"['he2', 'yu2', 'zhi1', 'ji2']"
荷枪实弹,"['he4', 'qiang1', 'shi2', 'dan4']"
涸鲋得水,"['he2', 'fu4', 'de2', 'shui3']"
涸思干虑,"['he2', 'si1', 'qian2', 'lv4']"
涸鱼得水,"['he2', 'yu2', 'de2', 'shui3']"
涸泽而渔,"['he2', 'ze2', 'er2', 'yu2']"
涸辙枯鱼,"['he2', 'zhe2', 'ku1', 'yu2']"
涸辙之鲋,"['he2', 'zhe2', 'zhi1', 'fu4']"
阖门百口,"['he2', 'men2', 'bai3', 'kou3']"
褐衣不完,"['he4', 'yi1', 'bu4', 'wan2']"
褐衣蔬食,"['he4', 'yi1', 'shu1', 'shi2']"
赫赫巍巍,"['he4', 'he4', 'wei1', 'wei1']"
赫赫炎炎,"['he4', 'he4', 'yan2', 'yan2']"
赫赫扬扬,"['he4', 'he4', 'yang2', 'yang2']"
赫赫有名,"['he4', 'he4', 'you3', 'ming2']"
赫赫之功,"['he4', 'he4', 'zhi4', 'gong1']"
赫赫之光,"['he4', 'he4', 'zhi4', 'guang1']"
赫然而怒,"['he4', 'ran2', 'er2', 'nu4']"
赫斯之威,"['he4', 'si1', 'zhi1', 'wei1']"
鹤背扬州,"['he4', 'bei4', 'yang2', 'zhou1']"
鹤长凫短,"['he4', 'chang2', 'fu2', 'duan3']"
鹤处鸡群,"['he4', 'chu3', 'ji1', 'qun2']"
鹤短凫长,"['he4', 'duan3', 'fu2', 'chang2']"
鹤发鸡皮,"['he4', 'fa4', 'ji1', 'pi2']"
鹤发松姿,"['he4', 'fa4', 'song1', 'zi1']"
鹤发童颜,"['he4', 'fa4', 'tong2', 'yan2']"
鹤骨鸡肤,"['he4', 'gu3', 'ji1', 'fu1']"
鹤骨龙筋,"['he4', 'gu3', 'long2', 'jin1']"
鹤骨霜髯,"['he4', 'gu3', 'shuang1', 'ran2']"
鹤骨松筋,"['he4', 'gu3', 'song1', 'jin1']"
鹤骨松姿,"['he4', 'gu3', 'song1', 'zi1']"
鹤归华表,"['he4', 'gui1', 'hua2', 'biao3']"
鹤困鸡群,"['he4', 'kun4', 'ji1', 'qun2']"
鹤立鸡群,"['he4', 'li4', 'ji1', 'qun2']"
鹤唳风声,"['he4', 'li4', 'feng1', 'sheng1']"
鹤唳华亭,"['he4', 'li4', 'hua2', 'ting2']"
鹤唳猿声,"['he4', 'li4', 'yuan2', 'sheng1']"
鹤鸣九皋,"['he4', 'ming2', 'jiu3', 'gao1']"
鹤鸣之士,"['he4', 'ming2', 'zhi1', 'shi4']"
鹤势螂形,"['he4', 'shi4', 'lang2', 'xing2']"
鹤膝蜂腰,"['he4', 'xi1', 'feng1', 'yao1']"
鹤行鸡群,"['he4', 'xing2', 'ji1', 'qun2']"
鹤怨猿惊,"['he4', 'yuan4', 'yuan2', 'jing1']"
鹤知夜半,"['he4', 'zhi1', 'ye4', 'ban4']"
鹤子梅妻,"['he4', 'zi3', 'mei2', 'qi1']"
黑白分明,"['hei1', 'bai2', 'fen1', 'ming2']"
黑白混淆,"['hei1', 'bai2', 'hun4', 'xiao2']"
黑灯瞎火,"['hei1', 'deng1', 'xia1', 'huo3']"
黑灯下火,"['hei1', 'deng1', 'xia4', 'huo3']"
黑地昏天,"['hei1', 'di4', 'hun1', 'tian1']"
黑风孽海,"['hei1', 'feng1', 'nie4', 'hai3']"
黑更半夜,"['hei1', 'geng1', 'ban4', 'ye4']"
黑家白日,"['hei1', 'jia1', 'bai2', 'ri4']"
黑价白日,"['hei1', 'jia4', 'bai2', 'ri4']"
黑漆皮灯,"['hei1', 'qi1', 'pi2', 'deng1']"
黑漆一团,"['hei1', 'qi1', 'yi1', 'tuan2']"
黑天白日,"['hei1', 'tian1', 'bai2', 'ri4']"
黑天半夜,"['hei1', 'tian1', 'ban4', 'ye4']"
黑天摸地,"['hei1', 'tian1', 'mo1', 'di4']"
黑天墨地,"['hei1', 'tian1', 'mo4', 'di4']"
黑言诳语,"['hei1', 'yan2', 'kuang2', 'yu3']"
狠心辣手,"['hen3', 'xin1', 'la4', 'shou3']"
恨海难填,"['hen4', 'hai3', 'nan2', 'tian2']"
恨如头醋,"['hen4', 'ru2', 'tou2', 'cu4']"
恨入骨髓,"['hen4', 'ru4', 'gu3', 'sui3']"
恨相见晚,"['hen4', 'xiang1', 'jian4', 'wan3']"
恨相知晚,"['hen4', 'xiang1', 'zhi1', 'wan3']"
恨之入骨,"['hen4', 'zhi1', 'ru4', 'gu3']"
亨嘉之会,"['heng1', 'jia1', 'zhi1', 'hui4']"
哼哼唧唧,"['heng1', 'heng1', 'ji1', 'ji1']"
恒河沙数,"['heng2', 'he2', 'sha1', 'shu4']"
恒河一沙,"['heng2', 'he2', 'yi1', 'sha1']"
横草之功,"['heng2', 'cao3', 'zhi1', 'gong1']"
横冲直闯,"['heng2', 'chong1', 'zhi2', 'chuang3']"
横冲直撞,"['heng2', 'chong1', 'zhi2', 'zhuang4']"
横从穿贯,"['heng2', 'cong2', 'chuan1', 'guan4']"
横刀揭斧,"['heng2', 'dao1', 'jie1', 'fu3']"
横刀跃马,"['heng2', 'dao1', 'yue4', 'ma3']"
横倒竖卧,"['heng2', 'dao3', 'shu4', 'wo4']"
横恩滥赏,"['heng4', 'en1', 'lan4', 'shang3']"
横峰侧岭,"['heng2', 'feng1', 'ce4', 'ling3']"
横赋暴敛,"['heng2', 'fu4', 'bao4', 'lian3']"
横戈盘马,"['heng2', 'ge1', 'pan2', 'ma3']"
横戈跃马,"['heng2', 'ge1', 'yue4', 'ma3']"
横祸飞灾,"['heng4', 'huo4', 'fei1', 'zai1']"
横祸非灾,"['heng4', 'huo4', 'fei1', 'zai1']"
横见侧出,"['heng2', 'jian4', 'ce4', 'chu1']"
横金拖玉,"['heng2', 'jin1', 'tuo1', 'yu4']"
横科暴敛,"['heng4', 'ke1', 'bao4', 'lian3']"
横拦竖挡,"['heng2', 'lan2', 'shu4', 'dang3']"
横蛮无理,"['heng4', 'man2', 'wu2', 'li3']"
横眉瞪目,"['heng2', 'mei2', 'deng4', 'mu4']"
横眉瞪眼,"['heng2', 'mei2', 'deng4', 'yan3']"
横眉冷目,"['heng2', 'mei2', 'leng3', 'mu4']"
横眉冷眼,"['heng2', 'mei2', 'leng3', 'yan3']"
横眉立目,"['heng2', 'mei2', 'li4', 'mu4']"
横眉立眼,"['heng2', 'mei2', 'li4', 'yan3']"
横眉努目,"['heng2', 'mei2', 'nu3', 'mu4']"
横眉怒目,"['heng2', 'mei2', 'nu4', 'mu4']"
横眉怒视,"['heng2', 'mei2', 'nu4', 'shi4']"
横眉竖眼,"['heng2', 'mei2', 'shu4', 'yan3']"
横眉吐气,"['heng2', 'mei2', 'tu3', 'qi4']"
横七竖八,"['heng2', 'qi1', 'shu4', 'ba1']"
横枪跃马,"['heng2', 'qiang1', 'yue4', 'ma3']"
横抢武夺,"['heng4', 'qiang3', 'wu3', 'duo2']"
横抢硬夺,"['heng4', 'qiang3', 'ying4', 'duo2']"
横驱别骛,"['heng2', 'qu1', 'bie2', 'wu4']"
横僿不文,"['heng2', 'sai4', 'bu4', 'wen2']"
横三竖四,"['heng2', 'san1', 'shu4', 'si4']"
横三顺四,"['heng2', 'san1', 'shun4', 'si4']"
横扫千军,"['heng2', 'sao3', 'qian1', 'jun1']"
横生枝节,"['heng2', 'sheng1', 'zhi1', 'jie2']"
横说竖说,"['heng2', 'shuo1', 'shu4', 'shuo1']"
横槊赋诗,"['heng2', 'shuo4', 'fu4', 'shi1']"
横躺竖卧,"['heng2', 'tang3', 'shu4', 'wo4']"
横拖倒扯,"['heng2', 'tuo1', 'dao4', 'che3']"
横拖倒拽,"['heng2', 'tuo1', 'dao4', 'zhuai1']"
横拖竖拉,"['heng2', 'tuo1', 'shu4', 'la1']"
横无忌惮,"['heng4', 'wu2', 'ji4', 'dan4']"
横翔捷出,"['heng2', 'xiang2', 'jie2', 'chu1']"
横行霸道,"['heng2', 'xing2', 'ba4', 'dao4']"
横行不法,"['heng2', 'xing2', 'bu4', 'fa3']"
横行逆施,"['heng2', 'xing2', 'ni4', 'shi1']"
横行天下,"['heng2', 'xing2', 'tian1', 'xia4']"
横行无忌,"['heng2', 'xing2', 'wu2', 'ji4']"
横行直撞,"['heng2', 'xing2', 'zhi2', 'zhuang4']"
横行直走,"['heng2', 'xing2', 'zhi2', 'zou3']"
横殃飞祸,"['heng4', 'yang1', 'fei1', 'huo4']"
横灾飞祸,"['heng4', 'zai1', 'fei1', 'huo4']"
横遮竖挡,"['heng2', 'zhe1', 'shu4', 'dang3']"
横针竖线,"['heng2', 'zhen1', 'shu4', 'xian4']"
横征暴赋,"['heng4', 'zheng1', 'bao4', 'fu4']"
横征暴敛,"['heng2', 'zheng1', 'bao4', 'lian3']"
横征苛敛,"['heng4', 'zheng1', 'ke1', 'lian3']"
横征苛役,"['heng4', 'zheng1', 'ke1', 'yi4']"
衡短论长,"['heng2', 'duan3', 'lun4', 'chang2']"
衡虑困心,"['heng2', 'lv4', 'kun4', 'xin1']"
衡门深巷,"['heng2', 'men2', 'shen1', 'xiang4']"
衡情酌理,"['heng2', 'qing2', 'zhuo2', 'li3']"
衡石程书,"['heng2', 'shi2', 'cheng2', 'shu1']"
衡石量书,"['heng2', 'shi2', 'liang4', 'shu1']"
衡阳雁断,"['heng2', 'yang2', 'yan4', 'duan4']"
轰动一时,"['hong1', 'dong4', 'yi1', 'shi2']"
轰轰烈烈,"['hong1', 'hong1', 'lie4', 'lie4']"
轰雷掣电,"['hong1', 'lei2', 'che4', 'dian4']"
轰雷贯耳,"['hong1', 'lei2', 'guan4', 'er3']"
轰堂大笑,"['hong1', 'tang2', 'da4', 'xiao4']"
轰天烈地,"['hong1', 'tian1', 'lie4', 'di4']"
轰天裂地,"['hong1', 'tian1', 'lie4', 'di4']"
哄动一时,"['hong1', 'dong4', 'yi1', 'shi2']"
哄堂大笑,"['hong1', 'tang2', 'da4', 'xiao4']"
烘堂大笑,"['hong1', 'tang2', 'da4', 'xiao4']"
烘托渲染,"['hong1', 'tuo1', 'xuan4', 'ran3']"
烘云讬月,"['hong1', 'yun2', 'zhi4', 'yue4']"
烘云托月,"['hong1', 'yun2', 'tuo1', 'yue4']"
弘奖风流,"['hong2', 'jiang3', 'feng1', 'liu2']"
弘毅宽厚,"['hong2', 'yi4', 'kuan1', 'hou4']"
红白喜事,"['hong2', 'bai2', 'xi3', 'shi4']"
红愁绿惨,"['hong2', 'chou2', 'lv4', 'can3']"
红豆相思,"['hong2', 'dou4', 'xiang1', 'si1']"
红飞翠舞,"['hong2', 'fei1', 'cui4', 'wu3']"
红粉青楼,"['hong2', 'fen3', 'qing1', 'lou2']"
红腐贯朽,"['hong2', 'fu3', 'guan4', 'xiu3']"
红男绿女,"['hong2', 'nan2', 'lv4', 'nv3']"
红旗报捷,"['hong2', 'qi2', 'bao4', 'jie2']"
红情绿意,"['hong2', 'qing2', 'lv4', 'yi4']"
红日三竿,"['hong2', 'ri4', 'san1', 'gan1']"
红绳系足,"['hong2', 'sheng2', 'ji4', 'zu2']"
红衰翠减,"['hong2', 'shuai1', 'cui4', 'jian3']"
红杏出墙,"['hong2', 'xing4', 'chu1', 'qiang2']"
红颜薄命,"['hong2', 'yan2', 'bo2', 'ming4']"
红叶题诗,"['hong2', 'ye4', 'ti2', 'shi1']"
红装素裹,"['hong2', 'zhuang1', 'su4', 'guo3']"
红紫乱朱,"['hong2', 'zi3', 'luan4', 'zhu1']"
宏才大略,"['hong2', 'cai2', 'da4', 'lve4']"
宏材大略,"['hong2', 'cai2', 'da4', 'lve4']"
宏儒硕学,"['hong2', 'ru2', 'shuo4', 'xue2']"
宏图大志,"['hong2', 'tu2', 'da4', 'zhi4']"
闳侈不经,"['hong2', 'chi3', 'bu4', 'jing1']"
闳大不经,"['hong2', 'da4', 'bu4', 'jing1']"
闳识孤怀,"['hong2', 'shi2', 'gu1', 'huai2']"
闳言崇议,"['hong2', 'yan2', 'chong2', 'yi4']"
闳言高论,"['hong2', 'yan2', 'gao1', 'lun4']"
闳意眇指,"['hong2', 'yi4', 'miao3', 'zhi3']"
闳意妙指,"['hong2', 'yi4', 'miao4', 'zhi3']"
闳宇崇楼,"['hong2', 'yu3', 'chong2', 'lou2']"
闳中肆外,"['hong2', 'zhong1', 'si4', 'wai4']"
泓峥萧瑟,"['hong2', 'zheng1', 'xiao1', 'se4']"
洪福齐天,"['hong2', 'fu2', 'qi2', 'tian1']"
洪炉点雪,"['hong2', 'lu2', 'dian3', 'xue3']"
洪炉燎发,"['hong2', 'lu2', 'liao2', 'fa4']"
洪乔捎书,"['hong2', 'qiao2', 'shao1', 'shu1']"
洪水横流,"['hong2', 'shui3', 'heng2', 'liu2']"
洪水猛兽,"['hong2', 'shui3', 'meng3', 'shou4']"
虹销雨霁,"['hong2', 'xiao1', 'yu3', 'ji4']"
鸿案鹿车,"['hong2', 'an4', 'lu4', 'che1']"
鸿案相庄,"['hong2', 'an4', 'xiang1', 'zhuang1']"
鸿笔丽藻,"['hong2', 'bi3', 'li4', 'zao3']"
鸿俦鹤侣,"['hong2', 'chou2', 'he4', 'lv3']"
鸿毳沉舟,"['hong2', 'cui4', 'chen2', 'zhou1']"
鸿都买第,"['hong2', 'dou1', 'mai3', 'di4']"
鸿断鱼沉,"['hong2', 'duan4', 'yu2', 'chen2']"
鸿飞冥冥,"['hong2', 'fei1', 'ming2', 'ming2']"
鸿飞霜降,"['hong2', 'fei1', 'shuang1', 'jiang4']"
鸿飞雪爪,"['hong2', 'fei1', 'xue3', 'zhao3']"
鸿鹄将至,"['hong2', 'hu2', 'jiang1', 'zhi4']"
鸿鹄之志,"['hong2', 'hu2', 'zhi1', 'zhi4']"
鸿函钜椟,"['hong2', 'han2', 'ju4', 'du2']"
鸿鷑凤立,"['hong2', 'xian1', 'feng4', 'li4']"
鸿鷑凤逝,"['hong2', 'xian1', 'feng4', 'shi4']"
鸿渐于干,"['hong2', 'jian4', 'yu2', 'gan4']"
鸿渐之仪,"['hong2', 'jian4', 'zhi1', 'yi2']"
鸿渐之翼,"['hong2', 'jian4', 'zhi1', 'yi4']"
鸿毛泰岱,"['hong2', 'mao2', 'tai4', 'dai4']"
鸿毛泰山,"['hong2', 'mao2', 'tai4', 'shan1']"
鸿蒙初辟,"['hong2', 'meng2', 'chu1', 'pi4']"
鸿泥雪爪,"['hong2', 'ni2', 'xue3', 'zhao3']"
鸿篇巨制,"['hong2', 'pian1', 'ju4', 'zhi4']"
鸿篇巨著,"['hong2', 'pian1', 'ju4', 'zhu4']"
鸿篇巨着,"['hong2', 'pian1', 'ju4', 'zhe']"
鸿篇钜制,"['hong2', 'pian1', 'ju4', 'zhi4']"
鸿儒硕学,"['hong2', 'ru2', 'shuo4', 'xue2']"
鸿商富贾,"['hong2', 'shang1', 'fu4', 'jia3']"
鸿图华构,"['hong2', 'tu2', 'hua2', 'gou4']"
鸿稀鳞绝,"['hong2', 'xi1', 'lin2', 'jue2']"
鸿翔鸾起,"['hong2', 'xiang2', 'luan2', 'qi3']"
鸿消鲤息,"['hong2', 'xiao1', 'li3', 'xi1']"
鸿轩凤翥,"['hong2', 'xuan1', 'feng4', 'zhu4']"
鸿雁哀鸣,"['hong2', 'yan4', 'ai1', 'ming2']"
鸿业远图,"['hong2', 'ye4', 'yuan3', 'tu2']"
鸿衣羽裳,"['hong2', 'yi1', 'yu3', 'shang']"
鸿隐凤伏,"['hong2', 'yin3', 'feng4', 'fu2']"
鸿章钜字,"['hong2', 'zhang1', 'ju4', 'zi4']"
鸿鴆满纸,"['hong2', 'yi3', 'man3', 'zhi3']"
鸿爪春泥,"['hong2', 'zhao3', 'chun1', 'ni2']"
鸿爪留泥,"['hong2', 'zhao3', 'liu2', 'ni2']"
鸿爪雪泥,"['hong2', 'zhao3', 'xue3', 'ni2']"
侯服玉食,"['hou2', 'fu2', 'yu4', 'shi2']"
侯门如海,"['hou2', 'men2', 'ru2', 'hai3']"
侯门似海,"['hou2', 'men2', 'si4', 'hai3']"
喉长气短,"['hou2', 'chang2', 'qi4', 'duan3']"
猴年马月,"['hou2', 'nian2', 'ma3', 'yue4']"
猴头猴脑,"['hou2', 'tou2', 'hou2', 'nao3']"
后车之戒,"['hou4', 'che1', 'zhi1', 'jie4']"
后发制人,"['hou4', 'fa1', 'zhi4', 'ren2']"
